id,name,memory_limit_mib,memory_limit_gib,millicpu_limit,gpu_count,gpu_type,gpu_memory_limit_mib,gpu_memory_limit_gib,price,price_hour
H100:2,"H100:2 - 2 H100 GPUs, 160 GiB VRAM",241664,236,32000,2,H100,163840,160,0.21666,12.9996
1x4,"1x4 - 1 vCPU, 4 GiB RAM",4096,4,1000,0,,0,0,0.00086,0.0516
H100,"H100 - 1 H100 GPU, 80 GiB VRAM",120832,118,16000,1,H100,81920,80,0.10833,6.4998
L4:2x24x96,"L4:2x24x96 - 2 L4 GPU, 48 GiB video memory, 24 vCPU, 96 GiB",98304,96,24000,2,L4,49152,48,0.04002,2.4012
16x64,"16x64 - 16 vCPUs, 64 GiB RAM",65536,64,16000,0,,0,0,0.01382,0.8292
T4x8x32,"T4x8x32 - 1 T4 GPU, 16 GiB VRAM, 8 vCPUs, 32 GiB RAM",32768,32,8000,1,T4,16384,16,0.01504,0.9024
T4:2x24x96,"T4:2x24x96 - 2 T4 GPUs, 32 GiB VRAM, 24 vCPU, 96 GiB RAM",98304,96,24000,2,T4,32768,32,0.03912,2.3472
T4x16x64,"T4x16x64 - 1 T4 GPU, 16 GiB VRAM, 16 vCPUs, 64 GiB RAM",65536,64,16000,1,T4,16384,16,0.02408,1.4448
2x8,"2x8 - 2 vCPUs, 8 GiB RAM",8192,8,2000,0,,0,0,0.00173,0.1038
1x2,"1x2 - 1 vCPU, 2 GiB RAM",2048,2,1000,0,,0,0,0.00058,0.0348
4x16,"4x16 - 4 vCPUs, 16 GiB RAM",16384,16,4000,0,,0,0,0.00346,0.2076
T4x4x16,"T4x4x16 - 1 T4 GPU, 16 GiB VRAM, 4 vCPUs, 16 GiB RAM",16384,16,4000,1,T4,16384,16,0.01052,0.6312
L4:4x16,"L4:4x16 - 1 L4 GPU, 24 GiB video memory, 4 vCPU, 16 GiB",16384,16,4000,1,L4,24576,24,0.01414,0.8484
H100MIG,"H100MIG - 1 H100 MIG GPU, 40 GiB VRAM",60416,59,8000,1,H100-40GB,40960,40,0.0625,3.75
T4:4x48x192,"T4:4x48x192 - 4 T4 GPUs, 64 GiB VRAM, 48 vCPUs, 192 GiB RAM",196608,192,48000,4,T4,65536,64,0.07824,4.6944
L4:4x48x192,"L4:4x48x192 - 4 L4 GPU, 96 GiB video memory, 48 vCPU, 192 GiB",196608,192,48000,4,L4,98304,96,0.08003,4.8018
8x32,"8x32 - 8 vCPUs, 32 GiB RAM",32768,32,8000,0,,0,0,0.00691,0.4146
H100:4,"H100:4 - 4 H100 GPUs, 320 GiB VRAM",483328,472,64000,4,H100,327680,320,0.43332,25.9992
